nombre_cancion,nombre_artista,duracion,oyentes,reproducciones,url
Why'd You Only Call Me When You're High?,Arctic Monkeys,146,2636306,40776102,https://www.last.fm/music/Arctic+Monkeys/_/Why%27d+You+Only+Call+Me+When+You%27re+High%3F
"All the Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar,232,944062,6022769,https://www.last.fm/music/Kendrick+Lamar/_/All+the+Stars+(with+SZA)+-+From+%22Black+Panther:+The+Album%22
WILDFLOWER,Billie Eilish,261,1598764,34991860,https://www.last.fm/music/Billie+Eilish/_/WILDFLOWER
Thinkin Bout You,Frank Ocean,200,2173878,35663477,https://www.last.fm/music/Frank+Ocean/_/Thinkin+Bout+You
Sextape,Deftones,241,1525193,27618364,https://www.last.fm/music/Deftones/_/Sextape
In the End,Linkin Park,221,3231966,38873553,https://www.last.fm/music/Linkin+Park/_/In+the+End
Golden,HUNTR/X,194,1017461,16476465,https://www.last.fm/music/HUNTR%2FX/_/Golden
Sparks,Coldplay,227,2521811,37398541,https://www.last.fm/music/Coldplay/_/Sparks
The Spins,Mac Miller,195,1267532,21388462,https://www.last.fm/music/Mac+Miller/_/The+Spins
HOT TO GO!,Chappell Roan,185,1570839,32818776,https://www.last.fm/music/Chappell+Roan/_/HOT+TO+GO%21
When the Sun Hits,Slowdive,287,1520995,25932429,https://www.last.fm/music/Slowdive/_/When+the+Sun+Hits
Faint,Linkin Park,162,2296759,28604132,https://www.last.fm/music/Linkin+Park/_/Faint
Just Dance,Lady Gaga,97,2766634,27846962,https://www.last.fm/music/Lady+Gaga/_/Just+Dance
Apocalypse,Cigarettes After Sex,288,2056954,41494335,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse
Change (In the House of Flies),Deftones,299,1865475,27302691,https://www.last.fm/music/Deftones/_/Change+(In+the+House+of+Flies)
Bags,Clairo,260,1521647,34041531,https://www.last.fm/music/Clairo/_/Bags
Back to the Old House - 2011 Remaster,The Smiths,186,1404449,22089177,https://www.last.fm/music/The+Smiths/_/Back+to+the+Old+House+-+2011+Remaster
Only Girl (In the World),Rihanna,235,2338543,24465163,https://www.last.fm/music/Rihanna/_/Only+Girl+(In+the+World)
One Dance,Drake,173,1928051,22274941,https://www.last.fm/music/Drake/_/One+Dance
I Wanna Be Yours,Arctic Monkeys,148,2552577,41505189,https://www.last.fm/music/Arctic+Monkeys/_/I+Wanna+Be+Yours
Judas,Lady Gaga,249,1930740,33507356,https://www.last.fm/music/Lady+Gaga/_/Judas
Paint By Numbers,Harry Styles,147,231732,1137054,https://www.last.fm/music/Harry+Styles/_/Paint+By+Numbers
"New Person, Same Old Mistakes",Tame Impala,362,1778183,23505214,"https://www.last.fm/music/Tame+Impala/_/New+Person,+Same+Old+Mistakes"
Everybody Wants to Rule the World,Tears for Fears,253,2776617,31418057,https://www.last.fm/music/Tears+for+Fears/_/Everybody+Wants+to+Rule+the+World
Somewhere I Belong,Linkin Park,217,1985072,22125932,https://www.last.fm/music/Linkin+Park/_/Somewhere+I+Belong
FAKE LOVE,BTS,242,818701,127673724,https://www.last.fm/music/BTS/_/FAKE+LOVE
Be Quiet and Drive (Far Away),Deftones,308,1601606,27545395,https://www.last.fm/music/Deftones/_/Be+Quiet+and+Drive+(Far+Away)
Cigarettes out the Window,TV Girl,198,1639949,30567771,https://www.last.fm/music/TV+Girl/_/Cigarettes+out+the+Window
luther (with SZA),Kendrick Lamar,0,1501915,27109889,https://www.last.fm/music/Kendrick+Lamar/_/luther+(with+SZA)
Come as You Are,Nirvana,220,3834043,39874106,https://www.last.fm/music/Nirvana/_/Come+as+You+Are
Run BTS,BTS,204,591140,46561206,https://www.last.fm/music/BTS/_/Run+BTS
Toxic,Britney Spears,200,3010344,29994023,https://www.last.fm/music/Britney+Spears/_/Toxic
